ds,total,total/State 1,total/State 1/Zone P,total/State 1/Zone Q,total/State 1/Zone R,total/State 2,total/State 2/Zone P,total/State 2/Zone Q,total/State 2/Zone R,total/State 3,total/State 3/Zone P,total/State 3/Zone Q,total/State 3/Zone R
2023-05-07,69125.92572476501,20401.52960554906,6971.8923259358935,6599.051669037588,6830.585610575585,30834.31747627428,10324.007847872406,10904.74318677945,9605.56644162241,17890.07864294168,5631.8138334928035,6200.480581005679,6057.784228443194
2023-05-08,56639.23236265969,19435.99576354111,6939.633690205423,6241.470606954309,6254.891466381386,23347.576218912385,8624.557182978308,6798.648376393263,7924.370659540808,13855.660380206204,4368.009457876498,4890.254420400318,4597.396501929382
2023-05-09,56489.48679170893,18130.388662659872,6202.623080787418,5852.851909024239,6074.913672848224,23612.23743906903,8337.535293827821,7580.365093600887,7694.337051640321,14746.860689980023,4748.105128362551,4997.144389917272,5001.6111717001995
2023-05-10,60290.973001753584,18942.16588303197,6628.8855292769185,6091.265407972069,6222.014945782985,26459.27909367827,8841.446570413067,9144.584195039626,8473.248328225569,14889.528025043353,5103.716321449883,4725.679938401966,5060.131765191501
2023-05-11,58059.99408325583,18680.673748610454,6198.747695477438,6024.9079982459625,6457.018054887058,25625.653534885318,8602.921185679994,8983.48987446282,8039.242474742494,13753.666799760063,4515.696287211438,4435.673144237378,4802.297368311242
2023-05-12,60361.66248339492,18710.697098051394,6593.304481053655,6253.813298663861,5863.579318333886,27079.037924843677,9193.52179436191,8332.351757994842,9553.164372486912,14571.927460499855,4707.06123521926,4430.264196718192,5434.602028562402
2023-05-13,70373.2367374932,20362.851045867214,6633.157333827062,7035.188102672647,6694.505609367512,31596.73752111124,11272.469049701387,9983.91563264596,10340.35283876389,18413.648170514734,5530.164402752063,6735.1406188649025,6148.343148897766
2023-05-14,59730.28594319369,18413.039347858754,6141.1766620725275,6103.636023453504,6168.226662332727,26255.688964786186,9269.389188323,8626.953556890172,8359.346219573004,15061.557630548763,4806.511201584839,4648.095952919716,5606.950476044202
2023-05-15,52845.36652926614,18139.378716180603,5843.0570006469825,6082.805316632951,6213.516398900671,22156.623593365108,7910.007051554769,6923.181755880566,7323.434785929767,12549.364219720437,4303.571402993873,3472.73133508553,4773.06148164103
2023-05-16,56090.33063474127,19888.93032025189,6544.516388756814,6677.785598551261,6666.628332943819,23353.789348162893,7400.948922610277,8141.999901379828,7810.840524172776,12847.610966326498,4143.010067569594,4183.765977609113,4520.834921147785
