ds,total,total/State 1,total/State 1/Zone P,total/State 1/Zone Q,total/State 1/Zone R,total/State 2,total/State 2/Zone P,total/State 2/Zone Q,total/State 2/Zone R,total/State 3,total/State 3/Zone P,total/State 3/Zone Q,total/State 3/Zone R
2023-07-05,43029.5234375,12520.03125,4103.70166015625,5183.713082621658,4728.840000783865,18783.219826442302,6317.712890625,6250.398841666296,6780.62060546875,10690.78123244181,3624.6630859375,3603.4892751457237,3810.546044095316
2023-07-06,39975.71484375,12706.9833984375,4282.37646484375,4878.637294749779,4721.521916278364,18140.77959114926,6159.65771484375,6307.307058331574,6243.814453125,11135.20251565411,3520.177490234375,3724.383969705183,3559.17187002511
2023-07-07,42601.44921875,12634.951171875,4504.4326171875,4927.600241311201,4542.997038029836,19380.61312782738,6570.318359375,7337.026347630116,6849.09033203125,11045.014784264167,3754.326904296875,3729.5370195822543,3599.6267497478366
2023-07-08,50697.55078125,15673.5751953125,4533.21875,4748.944008452653,4734.303642883865,21792.36281813528,6578.76416015625,6645.094092850282,6173.46435546875,12336.90825410736,3854.348388671875,3926.156206203463,3852.704946623902
2023-07-09,50010.9453125,13420.3974609375,4644.91796875,4728.901649579405,4551.89766767711,21371.696918425547,6818.16943359375,7574.76567230784,6586.50537109375,12489.164308779187,3626.595458984375,3666.4836294417782,3848.014651692618
2023-07-10,37499.125,11911.0322265625,4385.28759765625,4646.877582742548,4750.54546155757,18592.07612387224,6712.1953125,6473.861732743029,6198.86181640625,9753.041143588096,3564.80517578125,3645.955131199732,3713.1891566128597
2023-07-11,37382.71875,13965.279296875,4472.17138671875,4777.457263122346,4639.80161271403,20697.616759466957,5817.77880859375,6269.435973159388,5912.0859375,10970.392747057589,3611.824462890625,3544.6384790222264,4145.201486022789
2023-07-12,42295.91796875,14243.021484375,4266.4375,4822.4453313096765,4754.56176517983,19205.578910221357,6902.00048828125,6486.638429111123,6072.55126953125,10069.386508253658,3608.113037109375,3544.9294083325885,3878.76320558294
2023-07-13,40402.0546875,13551.4111328125,4267.2138671875,4980.854262570552,4610.132864724105,19586.8512948558,7470.0234375,6131.361435883246,6270.25537109375,10102.506527544741,3682.436279296875,3444.786292054112,3964.8754313410736
2023-07-14,42869.109375,15085.8984375,4566.7138671875,5108.988642890423,4545.55884518921,20129.9290729548,7647.30126953125,6568.228928972842,6284.5859375,10564.557378022659,3587.659423828125,3618.6813404691648,4278.166346860132
2023-07-15,51100.5625,16153.36328125,4545.669921875,4986.3408696310735,4434.095596620071,23048.774033676134,7336.3310546875,6743.499639662441,6163.2001953125,11857.338929359224,3715.450439453125,3888.2739909423626,3849.87186187606
2023-07-16,38166.046875,12271.4072265625,4569.603515625,4887.221334704167,4666.244132355423,16526.962047711575,5943.568359375,6191.023040249631,5911.0087890625,11169.777797017774,3595.619873046875,3405.043123687972,3660.4585397361475
2023-07-17,34003.984375,9241.6708984375,4324.96875,4551.070960955561,5001.539771975666,17964.44773888175,6487.09130859375,6365.682661356114,6020.21240234375,10869.671663827387,3519.65185546875,3642.341019927328,3821.80725316948
2023-07-18,41481.328125,13030.7412109375,4637.47705078125,4670.8723393366245,4497.306120684464,18345.2975427477,6820.45361328125,6102.486428927958,6187.7001953125,10270.901484394331,3648.2470703125,3646.9472768169308,3951.9704282058783
2023-07-19,39978.55859375,12281.77734375,4447.96337890625,4862.835935505647,4459.17526551603,18559.801758903523,6293.24853515625,6214.207930545473,6308.5283203125,10459.181749506124,3529.833251953125,3836.235045715763,3799.6591475796768
2023-07-20,41519.39453125,12757.166015625,4669.76123046875,4709.774619327639,4494.923862540955,18843.439401674263,6611.11865234375,5621.8911151728735,6430.486328125,10409.442497373375,3588.2822265625,3650.230557634559,3534.02098029428
2023-07-21,43945.3203125,13267.6923828125,4544.03271484375,5537.008905308018,4428.966039723652,18072.00275462775,6391.591796875,6108.330244103799,6419.1767578125,11361.531630290534,3654.732666015625,3618.948457060854,3606.2648139535813
2023-07-22,44309.9296875,15342.0341796875,4892.05224609375,5314.979053663901,4658.5446282817375,18982.7675959218,6074.74609375,6685.482601830404,6812.8115234375,11435.927211124454,3551.81298828125,3690.4296500995347,4017.58324690187
2023-07-23,50385.37109375,16094.958984375,4687.29541015625,4988.668377258973,4373.574975489473,21197.039084110856,7291.791015625,7210.519223194703,6427.755859375,12616.001676797834,3756.353759765625,3812.6150721147205,3645.5197005205005
2023-07-24,33527.9453125,12797.8759765625,4487.45458984375,4757.285170228692,4725.075643324444,17406.327731504087,7898.578125,6871.693062409566,7280.78125,9561.111575330891,3709.16796875,3820.028340846794,3396.737802133996
2023-07-25,39719.8515625,12549.62109375,4709.775390625,4678.690236291262,4553.163608897027,18015.564087278613,7966.32666015625,7072.313989412782,6247.48046875,11290.347076810453,3633.320556640625,3488.715197544822,3780.4412595614335
2023-07-26,43279.03515625,14241.6396484375,4622.26220703125,5069.548063330446,4391.951597221002,18630.05054008749,7998.60205078125,6659.935439591265,6560.296875,11189.860681926288,3719.549560546875,4256.466170156977,3749.0445454813052
2023-07-27,41546.77734375,14050.0546875,4506.03515625,4964.417821792917,4823.500374018869,18187.759657529557,6350.23681640625,6503.205874628995,6340.82470703125,10622.54915019289,3683.720947265625,3972.2277561072506,3711.177337852836
2023-07-28,41934.8984375,12773.806640625,4438.07177734375,5336.978635108309,4685.2505341681335,18379.070636536675,6387.482421875,6719.676436939599,6255.18359375,11644.366569344711,3630.940185546875,3709.582373320538,3567.8103493884514
2023-07-29,48155.984375,13376.84375,4599.13671875,4988.134187166463,4916.252847764077,22519.3544960118,6926.9765625,6802.366950526779,6031.71630859375,12654.852452898976,3728.258056640625,4249.624476035309,3850.1459479833707
